model,stage,n_samples,accuracy,mean_confidence,confidence_minus_accuracy,ece,brier_score,nll,temperature,notes,timestamp
MiniConvNet,before_temperature,315,0.4952380952380952,0.6608902601968675,0.165652,0.1656521649587722,0.657021185749918,1.284296735685697,1.0,"raw model output, no temperature scaling applied",2026-09-09T17:04:23
VGG16,before_temperature,315,0.7714285714285715,0.771760298524584,0.000332,0.0264909362036084,0.3247387137912074,0.5800757922297493,1.0,"raw model output, no temperature scaling applied",2026-09-09T17:04:23
MiniConvNet,after_temperature,315,0.4952380952380952,0.659669034766503,0.164431,0.1644309395284077,0.6563163687182257,1.2818055561712651,1.0055739176975071,T fitted on 72 validation samples; applied to test only,2026-09-09T17:04:23
VGG16,after_temperature,315,0.7714285714285715,0.6658168265958091,-0.105612,0.1206766433579757,0.3448735703982786,0.6244294617102667,1.6519979654419785,T fitted on 72 validation samples; applied to test only,2026-09-09T17:04:23
