run_name,split_variant,dropout_enabled,dropout_rate,accuracy,f1_macro,cohen_kappa,mcc,n_predicted_classes,epochs_trained,status,notes,timestamp
ablation_faithful_dropout_on,faithful,True,0.5,0.438095,0.432296,0.292754,0.339739,4,34,ok,"budget 60 epochs, identical seed/lr/clipnorm/label-smoothing across arms; activation=leaky_relu; 3.73 min on CPU",2026-08-11T14:48:30
ablation_faithful_dropout_off,faithful,False,0.0,0.419048,0.408355,0.263821,0.304152,4,21,ok,"budget 60 epochs, identical seed/lr/clipnorm/label-smoothing across arms; activation=leaky_relu; 2.39 min on CPU",2026-08-11T15:00:59
