model,arch_variant,split_variant,params,accuracy,accuracy_std,precision_macro,recall_macro,f1_macro,cohen_kappa,mcc,auc_macro,binary_tumor_acc,subtype_acc,epochs_trained,n_runs,status,notes,timestamp
MiniConvNet (3-fold CV),miniconvnet_500k,faithful,499172,0.705936,0.119965,0.732669,0.705325,0.708897,0.595953,0.601217,,0.956984,0.648504,34,3,ok,"3-fold CV mean+/-std on the faithful (paper-comparable) split [3 folds not 5: disclosed CPU-budget decision]; f1_macro=0.7089 +/- 0.1253; 0 fold(s) excluded (0 collapsed, 0 partial); activation=leaky_relu, label_smoothing=0.05; pooled CV shares duplicated images across folds (documented dataset caveat)",2026-08-11T14:07:33
ResNet50,transfer_frozen,faithful,23850500,0.701587,,0.724636,0.698475,0.702566,0.576849,0.585116,0.89502,0.984127,0.643678,25,1,ok,"ImageNet feature extraction, head-only training; 17.6s/epoch, 7.33 min total on CPU",2026-08-11T15:16:30
VGG16,transfer_frozen,faithful,14780868,0.6,,0.605732,0.651334,0.609381,0.463504,0.477362,0.858507,0.952381,0.521073,25,1,ok,"ImageNet feature extraction, head-only training; 72.1s/epoch, 30.02 min total on CPU",2026-08-11T15:52:57
MobileNetV3Small,transfer_frozen,faithful,1013492,0.634921,,0.628766,0.587119,0.560904,0.463858,0.490615,0.845319,0.987302,0.563218,25,1,ok,"ImageNet feature extraction, head-only training; 3.9s/epoch, 1.63 min total on CPU",2026-08-11T16:02:00
EfficientNetV2B0,transfer_frozen,faithful,6083796,0.644444,,0.703852,0.601702,0.578796,0.480795,0.49838,0.867868,0.996825,0.574713,25,1,ok,"ImageNet feature extraction, head-only training; lr=0.0001; class_weight=inverse_frequency; 6.0s/epoch, 2.48 min total on CPU; class weights added to remedy a partial collapse (large.cell.carcinoma never predicted) in the unweighted first pass",2026-08-12T12:01:53
