model,arch_variant,dataset,params,accuracy,precision_macro,recall_macro,f1_macro,cohen_kappa,mcc,auc_macro,benign_vs_malignant_acc,subtype_acc,n_train,n_test,epochs_trained,n_runs,status,notes,timestamp
miniconvnet,miniconvnet_500k,lc25000_lung,499107,0.961111,0.961876,0.961111,0.960989,0.941667,0.942166,0.996398,0.995833,0.94375,2520,720,60,1,ok,"single run, no CV (disclosed scope reduction); stratified subsample 1200/class; 22.4s/epoch, 22.41 min on CPU",2026-08-13T16:30:18
mobilenetv3small,transfer_frozen,lc25000_lung,1013363,0.956944,0.956863,0.956944,0.956901,0.935417,0.935419,0.99645,0.998611,0.935417,2520,720,25,1,ok,"single run, no CV (disclosed scope reduction); stratified subsample 1200/class; 12.0s/epoch, 5.0 min on CPU; ImageNet feature extraction, head-only training",2026-08-13T16:42:35
resnet50,transfer_frozen,lc25000_lung,23850371,0.969444,0.9696,0.969444,0.969423,0.954167,0.954266,0.998218,0.997222,0.95625,2520,720,25,1,ok,"single run, no CV (disclosed scope reduction); stratified subsample 1200/class; 75.0s/epoch, 31.25 min on CPU; ImageNet feature extraction, head-only training",2026-08-13T17:16:52
