model,dataset,n_samples,n_passes,seed,checkpoint_used,checkpoint_substitution_note,mean_predictive_entropy,median_predictive_entropy,mean_confidence_variance,mean_entropy_correct,mean_entropy_incorrect,entropy_higher_for_incorrect,n_high_confidence_incorrect,high_confidence_threshold,notes,timestamp
MiniConvNet,internal,315,15,42,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\checkpoints_local\miniconvnet_single_run.keras,"MiniConvNet results in this analysis use the SINGLE-RUN checkpoint (checkpoints_local/miniconvnet_single_run.keras, internal faithful-split test accuracy 49.52% - see results/calibration/calibration_metrics.csv), the SAME instance already analysed in Phases 3-4 (Grad-CAM, calibration) - NOT a checkpoint specifically derived from the leakage-controlled 3-fold CV (74.10% +/- 4.24%, outputs/leakage/leakage_controlled_cv_results.json), which never produced a standalone saved model (confirmed: no .save() call exists anywhere in src/leakage_cv_utils.py or notebook 14 - it was built to report aggregate per-fold metrics only). This is a disclosed, deliberate substitution: the research question here (does uncertainty flag likely-wrong predictions) does not depend on which specific MiniConvNet training run is used, as long as it is stated clearly which one was.",0.8880824446678162,1.000820279121399,0.013353444635868,0.7093480681248295,1.0634444612283376,True,37,0.75,"n_passes=15, seed=42, dataset=internal",2026-09-15T14:50:34
MiniConvNet,external,977,15,42,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\checkpoints_local\miniconvnet_single_run.keras,"MiniConvNet results in this analysis use the SINGLE-RUN checkpoint (checkpoints_local/miniconvnet_single_run.keras, internal faithful-split test accuracy 49.52% - see results/calibration/calibration_metrics.csv), the SAME instance already analysed in Phases 3-4 (Grad-CAM, calibration) - NOT a checkpoint specifically derived from the leakage-controlled 3-fold CV (74.10% +/- 4.24%, outputs/leakage/leakage_controlled_cv_results.json), which never produced a standalone saved model (confirmed: no .save() call exists anywhere in src/leakage_cv_utils.py or notebook 14 - it was built to report aggregate per-fold metrics only). This is a disclosed, deliberate substitution: the research question here (does uncertainty flag likely-wrong predictions) does not depend on which specific MiniConvNet training run is used, as long as it is stated clearly which one was.",0.5246956816512254,0.5384489694175226,0.0148349599912762,0.5213479711322383,0.5275542579957113,True,356,0.75,"n_passes=15, seed=42, dataset=external",2026-09-15T14:50:34
VGG16,internal,315,15,42,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\checkpoints_local\vgg16_runB_finetuned.keras,,0.7106444239616394,0.7864388823509216,0.043201956897974,0.6413260056071087,0.9445940458940136,True,22,0.75,"n_passes=15, seed=42, dataset=internal",2026-09-15T14:50:34
VGG16,external,977,15,42,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\checkpoints_local\vgg16_runB_finetuned.keras,,0.43614591779068945,0.4723425024419482,0.04864588752388954,0.4289964637812388,0.4452785536815495,True,305,0.75,"n_passes=15, seed=42, dataset=external",2026-09-15T14:50:34
