model,parameters,internal_accuracy_this_checkpoint,internal_accuracy_source,internal_cv_headline_accuracy,internal_cv_headline_std,leakage_controlled_accuracy,leakage_controlled_std,leakage_controlled_note,external_accuracy,external_auc,external_malignant_recall,ece,brier_score,mean_uncertainty_internal,uncertainty_error_relationship,selective_prediction_performance
MiniConvNet,499172,0.4952380952380952,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\calibration\calibration_metrics.csv (this checkpoint's own test-set accuracy),0.705936,0.119965,0.7410464356572142,0.042424258899348866,,0.4605936540429887,0.5222687851364322,0.0819964349376114,0.1656521649587722,0.657021185749918,0.8880824446678162,higher entropy for incorrect (delta=+0.3541),at 80% coverage: error 53.9% -> 52.9%
VGG16,14780868,0.7714285714285715,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Lung-Cancer-Classification-\results\calibration\calibration_metrics.csv (this checkpoint's own test-set accuracy),0.7714285714285715,,,,Leakage-controlled (Option B) 3-fold CV was run for MiniConvNet only - not attempted for baselines.,0.5609007164790174,0.641239887563417,0.3351158645276292,0.0264909362036084,0.3247387137912074,0.7106444239616394,higher entropy for incorrect (delta=+0.3033),at 80% coverage: error 43.9% -> 41.2%
