run_name,model,run_type,phase,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,cohen_kappa,mcc,auc_macro,tumour_detection_accuracy,subtype_accuracy,total_params,trainable_params,trainable_fraction,checkpoint_size_mb,epochs_run,train_seconds,sec_per_epoch,inference_ms_per_image,learning_rate,unfreeze_top_n,status,notes,timestamp
resnet50_runA_frozen,ResNet50,frozen,phase2_fair_baseline,0.7206349206349206,0.7358885027895344,0.7847086056644881,0.740209823457924,0.7078787031404549,0.624390243902439,0.6398365870527696,0.9186276006483354,0.961904761904762,0.6666666666666666,23850500,262788,0.011018,93.629,17,449.9,26.4,38.041,0.001,0,ok,"fair re-benchmark Run A (frozen backbone); deep resnet; last residual block only, BN kept frozen",2026-09-04T08:16:43
resnet50_runB_finetuned,ResNet50,finetuned,phase2_fair_baseline,0.692063492063492,0.7051393452598272,0.6702886710239652,0.6751968972656252,0.679208246325674,0.5597769709543567,0.5663939096097854,0.8790896184821697,0.9904761904761904,0.632183908045977,23850500,4722308,0.197996,127.656,15,329.8,22.0,27.926,1e-05,12,ok,"fair re-benchmark Run B (partial fine-tune, top 12 layers, BN frozen); deep resnet; last residual block only, BN kept frozen",2026-09-04T08:23:34
vgg16_runA_frozen,VGG16,frozen,phase2_fair_baseline,0.5587301587301587,0.5516700404858299,0.606454248366013,0.5625307457711521,0.5430902559250268,0.4086783891094725,0.4182650514617909,0.81349892172244,0.9301587301587302,0.4674329501915709,14780868,66180,0.004477,56.984,20,1497.9,74.9,113.57,0.0001,0,ok,fair re-benchmark Run A (frozen backbone); no normalisation layers + slowest on CPU; shallowest unfreeze,2026-09-04T15:08:01
vgg16_runB_finetuned,VGG16,finetuned,phase2_fair_baseline,0.7714285714285715,0.8097108378870674,0.7778186274509804,0.7837473173894579,0.7663653824395936,0.6765637032600325,0.6862039455911556,0.9368558384244658,0.9904761904761904,0.7241379310344828,14780868,7145604,0.483436,111.0,15,849.1,56.6,50.225,1e-05,4,ok,"fair re-benchmark Run B (partial fine-tune, top 4 layers, BN frozen); no normalisation layers + slowest on CPU; shallowest unfreeze",2026-09-04T15:24:12
efficientnetv2b0_runA_frozen,EfficientNetV2B0,frozen,phase2_fair_baseline,0.7682539682539683,0.7977502017756255,0.8154684095860567,0.7877226861668863,0.7657542878695265,0.6829106854755305,0.692436974338439,0.9249607334272084,0.9968253968253968,0.7241379310344828,6083796,164484,0.027036,25.391,17,181.0,10.6,12.279,0.001,0,ok,"fair re-benchmark Run A (frozen backbone); compound-scaled blocks; top block group, BN kept frozen",2026-09-04T15:33:05
efficientnetv2b0_runB_finetuned,EfficientNetV2B0,finetuned,phase2_fair_baseline,0.5555555555555556,0.461571119913133,0.524537037037037,0.4861104145041081,0.50313448508148,0.3479128776116754,0.3668367669134205,0.7537687526519506,0.9777777777777776,0.4674329501915709,6083796,974772,0.160224,31.579,15,129.1,8.6,18.535,1e-05,20,ok,"fair re-benchmark Run B (partial fine-tune, top 20 layers, BN frozen); compound-scaled blocks; top block group, BN kept frozen",2026-09-04T15:36:00
mobilenetv3small_runA_frozen,MobileNetV3Small,frozen,phase2_fair_baseline,0.7015873015873015,0.7272031569824264,0.7189406318082789,0.7203928969706626,0.7044630436722193,0.5843860535624052,0.5857601012101854,0.8952357182692432,0.9873015873015872,0.6551724137931034,1013492,74372,0.073382,4.99,13,64.8,5.0,9.14,0.001,0,ok,fair re-benchmark Run A (frozen backbone); cheapest per epoch; deepest unfreeze affordable on CPU,2026-09-04T15:39:44
mobilenetv3small_runB_finetuned,MobileNetV3Small,finetuned,phase2_fair_baseline,0.7206349206349206,0.7431475852752449,0.728390522875817,0.7320628722354994,0.7181240414681862,0.6070259005656444,0.61074438273763,0.8937166792985478,0.9809523809523809,0.6743295019157088,1013492,421268,0.41566,7.642,15,71.7,4.8,7.71,0.0001,20,ok,"fair re-benchmark Run B (partial fine-tune, top 20 layers, BN frozen); cheapest per epoch; deepest unfreeze affordable on CPU",2026-09-04T15:41:31
