fold,accuracy,f1_macro,precision_macro,recall_macro,cohen_kappa,mcc,binary_tumor_acc,subtype_acc,n_predicted_classes,epochs_trained,minutes,status
1,0.5465465465465466,0.46795888141094755,0.4434647868363848,0.5082327962280856,0.35863520408163274,0.3803442564722474,0.9579579579579579,0.45038167938931295,3,17,1.72,INVALID_partial_collapse
2,0.5359281437125748,0.4014324374766704,0.5330610179294389,0.48565337537720815,0.3300636678917128,0.4236658108651274,0.9520958083832335,0.42366412213740456,3,14,1.32,INVALID_partial_collapse
3,0.6786786786786787,0.6804537107527804,0.7359470555599588,0.6717711794019934,0.5601219722969804,0.5693885300817702,0.96996996996997,0.6206896551724138,4,31,3.22,ok
