model,run_name,n_samples,accuracy,precision_macro,recall_macro,f1_macro,auc_macro,binary_tumor_detection_accuracy,subtype_accuracy,note
MiniConvNet,miniconvnet_single_run,315,0.495238,0.591341,0.604235,0.500282,0.825986,0.860317,0.40613,this checkpoint's own faithful-split test set - see leakage_controlled_accuracy in model_comparison.csv for the robustness-checked headline
VGG16,vgg16_runB_finetuned,315,0.771429,0.809711,0.777819,0.783747,0.936856,0.990476,0.724138,this checkpoint's own faithful-split test set - see leakage_controlled_accuracy in model_comparison.csv for the robustness-checked headline
